timestamp,theta_pot,button_state,theta_pot_rad,wUser_,w_meas,tau_ext
1764936560.8587153,96.43,1.0,1.68,0.0,0.0,-0.05498
1764936560.8617198,96.43,1.0,1.68,0.0,0.0,-0.05646
1764936560.862726,96.69,1.0,1.69,0.0,0.0,-0.05932
1764936560.8647287,96.43,1.0,1.68,0.0,0.0,-0.06276
1764936560.8657146,96.43,1.0,1.68,0.0,0.0,-0.06806
1764936560.8691473,96.43,1.0,1.68,0.0,0.0,-0.06757
1764936560.9987078,96.16,1.0,1.68,0.0,-0.03835,-0.05903
1764936560.99972,96.69,1.0,1.69,0.0,-0.023405,0.02455
1764936561.1717713,96.69,1.0,1.69,0.0,-4e-06,0.02017
1764936561.1727734,96.43,1.0,1.68,0.0,-0.0,0.0
1764936561.3616376,96.43,1.0,1.68,0.0,-0.0,0.0
1764936561.3627372,96.43,1.0,1.68,0.0,-0.0,0.02342
1764936561.6019816,96.69,1.0,1.69,0.0,-0.0,0.02835
1764936561.602985,96.69,1.0,1.69,0.0,-0.0,0.03137
1764936561.7818909,96.69,1.0,1.69,0.0,-0.0,0.03074
1764936561.783894,96.69,1.0,1.69,0.0,-0.0,0.02954
1764936562.0307255,96.69,1.0,1.69,0.0,-0.0,0.02573
1764936562.0322478,96.69,1.0,1.69,0.0,-0.0,0.02463
1764936562.2260206,96.43,1.0,1.68,0.0,-0.0,0.02505
1764936562.2270255,96.43,1.0,1.68,0.0,-0.0,0.0273
1764936562.3900917,96.69,1.0,1.69,0.0,-0.0,0.03114
1764936562.3910892,96.43,1.0,1.68,0.0,-0.0,0.03107
1764936562.6213064,96.69,1.0,1.69,0.0,-0.0,0.03088
1764936562.6233099,96.69,1.0,1.69,0.0,-0.0,0.0276
1764936562.8424854,96.43,1.0,1.68,0.0,-0.0,0.02308
1764936562.843484,96.43,1.0,1.68,0.0,-0.0,0.02119
1764936563.0579193,96.43,1.0,1.68,0.0,-0.0,0.03163
1764936563.0599227,96.69,1.0,1.69,0.0,-0.0,0.0451
1764936563.2182295,96.43,1.0,1.68,0.0,-0.0,0.06683
1764936563.2202256,96.43,1.0,1.68,0.0,-0.0,0.06431
1764936563.4462614,96.69,1.0,1.69,0.0,-0.0,0.06862
1764936563.4472587,96.43,1.0,1.68,0.0,-0.0,0.12653
1764936563.6354933,96.43,1.0,1.68,0.0,-0.0,0.11342
1764936563.6380265,96.69,1.0,1.69,0.0,-0.0,0.10774
1764936563.8271003,96.43,1.0,1.68,0.0,-0.0,0.10811
1764936563.828101,96.43,1.0,1.68,0.0,-0.0,0.08063
1764936563.8300974,96.16,1.0,1.68,0.0,-0.0,0.06007
1764936564.070175,96.43,1.0,1.68,0.0,-0.0,0.03809
1764936564.0711768,96.43,1.0,1.68,0.0,-0.0,0.0
1764936564.2584763,96.43,1.0,1.68,0.0,-0.0,0.0
1764936564.259474,96.43,1.0,1.68,0.0,-0.0,0.04594
1764936564.449483,96.43,1.0,1.68,0.0,-0.0,0.0561
1764936564.4504757,96.43,1.0,1.68,0.0,-0.0,0.04074
1764936564.7062798,96.69,1.0,1.69,0.0,-0.0,0.03005
1764936564.7072752,96.43,1.0,1.68,0.0,-0.0,0.06403
1764936564.8977861,96.43,1.0,1.68,0.0,-0.0,0.0373
1764936564.898784,96.43,1.0,1.68,0.0,-0.0,0.0
1764936565.1011245,96.43,1.0,1.68,0.0,-0.0,0.0
1764936565.1031227,96.43,1.0,1.68,0.0,-0.0,0.0
1764936565.2868996,96.43,1.0,1.68,0.0,-0.0,0.0
1764936565.2879076,96.43,1.0,1.68,0.0,-0.0,-0.04561
1764936565.51314,96.43,1.0,1.68,0.0,-0.0,-0.0501
1764936565.515138,96.43,1.0,1.68,0.0,-0.0,0.0
1764936565.7385013,96.43,1.0,1.68,0.0,-0.0,0.0
1764936565.739501,96.69,1.0,1.69,0.0,-0.0,-0.03091
1764936565.922057,96.43,1.0,1.68,0.0,-0.0,-0.03815
1764936565.9230642,96.43,1.0,1.68,0.0,-0.0,-0.10083
1764936566.10609,96.43,1.0,1.68,0.0,-0.0,-0.11846
1764936566.1081247,96.43,1.0,1.68,0.0,-0.0,-0.10149
1764936566.296877,96.43,1.0,1.68,0.0,-0.0,-0.05931
1764936566.2978778,96.69,1.0,1.69,0.0,-0.0,-0.04933
1764936566.5500329,96.43,1.0,1.68,0.0,-0.0,-0.0383
1764936566.5520322,96.69,1.0,1.69,0.0,-0.0,-0.04079
1764936566.7270358,96.43,1.0,1.68,0.0,-0.0,-0.04484
1764936566.728036,96.69,1.0,1.69,0.0,-0.0,-0.06053
1764936566.9493468,96.16,1.0,1.68,0.0,-0.0,-0.08073
1764936566.9513423,96.69,1.0,1.69,0.0,-0.0,-0.06457
1764936567.1884613,96.43,1.0,1.68,0.0,-0.0,-0.04184
1764936567.1904676,96.43,1.0,1.68,0.0,-0.0,-0.0456
1764936567.381121,96.43,1.0,1.68,0.0,-0.0,-0.06075
1764936567.3821201,96.69,1.0,1.69,0.0,-0.0,-0.12664
1764936567.5721252,96.43,1.0,1.68,0.0,-0.0,-0.22008
1764936567.5731213,92.99,1.0,1.62,0.0,-0.582199,-0.16786
1764936567.5731213,90.35,1.0,1.58,0.0,-0.409935,-0.09692
1764936567.764124,90.35,1.0,1.58,0.0,-0.195853,0.12959
