timestamp,theta_pot,button_state,theta_pot_rad,wUser_,w_meas,tau_ext
1764938190.827801,92.99,1.0,1.62,0.0,0.0,-0.12885
1764938190.829797,92.99,1.0,1.62,0.0,0.0,-0.13204
1764938190.8337886,92.99,1.0,1.62,0.0,0.0,-0.13178
1764938190.83479,92.99,1.0,1.62,0.0,0.0,-0.13363
1764938190.837791,92.99,1.0,1.62,0.0,0.0,-0.13091
1764938190.8387954,92.99,1.0,1.62,0.0,0.0,-0.13333
1764938190.9575021,92.73,1.0,1.62,0.0,-0.068754,-0.12514
1764938190.9585018,89.56,1.0,1.56,0.0,-0.065152,-0.03326
1764938191.147289,89.3,1.0,1.56,0.0,-4e-06,-0.0207
1764938191.1482909,89.3,1.0,1.56,0.0,-0.0,-0.04431
1764938191.3191779,89.56,1.0,1.56,0.0,-0.0,-0.04719
1764938191.3196898,89.56,1.0,1.56,0.0,-0.0,-0.05451
1764938191.5067194,89.3,1.0,1.56,0.0,-0.0,-0.05595
1764938191.5077205,89.56,1.0,1.56,0.0,-0.0,-0.054
1764938191.5097163,89.3,1.0,1.56,0.0,-0.0,-0.05415
1764938191.7552783,89.3,1.0,1.56,0.0,-0.0,-0.05224
1764938191.7574055,89.3,1.0,1.56,0.0,-0.0,-0.054
1764938191.9432638,89.56,1.0,1.56,0.0,-0.0,-0.05333
1764938191.9447885,89.3,1.0,1.56,0.0,-0.0,-0.05619
1764938192.1696074,89.3,1.0,1.56,0.0,-0.0,-0.05713
1764938192.1706111,89.56,1.0,1.56,0.0,-0.0,-0.05823
1764938192.362,89.56,1.0,1.56,0.0,-0.0,-0.05832
1764938192.3630097,89.3,1.0,1.56,0.0,-0.0,-0.05581
1764938192.5447824,89.3,1.0,1.56,0.0,-0.0,-0.05945
1764938192.5477827,89.56,1.0,1.56,0.0,-0.0,-0.06061
1764938192.7386048,89.3,1.0,1.56,0.0,-0.0,-0.06148
1764938192.740608,89.56,1.0,1.56,0.0,-0.0,-0.05986
1764938192.9760978,89.3,1.0,1.56,0.0,-0.0,-0.05891
1764938192.978087,89.3,1.0,1.56,0.0,-0.0,-0.05935
1764938193.1361713,89.56,1.0,1.56,0.0,-0.0,-0.05968
1764938193.1381602,89.56,1.0,1.56,0.0,-0.0,-0.059
1764938193.3676128,89.56,1.0,1.56,0.0,-0.0,-0.05975
1764938193.3686154,89.56,1.0,1.56,0.0,-0.0,-0.05878
1764938193.5849864,89.56,1.0,1.56,0.0,-0.0,-0.05919
1764938193.5871189,89.56,1.0,1.56,0.0,-0.0,-0.05648
1764938193.77395,89.3,1.0,1.56,0.0,-0.0,-0.05514
1764938193.7749577,89.3,1.0,1.56,0.0,-0.0,-0.05363
1764938193.9630542,89.56,1.0,1.56,0.0,-0.0,-0.05036
1764938193.9650514,89.56,1.0,1.56,0.0,-0.0,-0.05332
1764938194.1660697,89.56,1.0,1.56,0.0,-0.0,-0.05465
1764938194.1660697,89.3,1.0,1.56,0.0,-0.0,-0.05624
1764938194.3494349,89.56,1.0,1.56,0.0,-0.0,-0.05865
1764938194.3514414,89.56,1.0,1.56,0.0,-0.0,-0.05766
1764938194.5775197,89.56,1.0,1.56,0.0,-0.0,-0.05683
1764938194.5795257,89.3,1.0,1.56,0.0,-0.0,-0.05359
1764938194.770936,89.3,1.0,1.56,0.0,-0.0,-0.05268
1764938194.7719479,89.3,1.0,1.56,0.0,-0.0,-0.05322
1764938195.0291736,89.56,1.0,1.56,0.0,-0.0,-0.05263
1764938195.0311806,89.56,1.0,1.56,0.0,-0.0,-0.05453
1764938195.21723,89.56,1.0,1.56,0.0,-0.0,-0.055
1764938195.219566,89.3,1.0,1.56,0.0,-0.0,-0.05479
1764938195.424567,89.56,1.0,1.56,0.0,-0.0,-0.05269
1764938195.4265654,89.3,1.0,1.56,0.0,-0.0,-0.05167
1764938195.607525,89.3,1.0,1.56,0.0,-0.0,-0.05229
1764938195.608767,89.56,1.0,1.56,0.0,-0.0,-0.05211
1764938195.796801,89.04,1.0,1.55,0.0,-0.0,-0.05421
1764938195.7988014,89.56,1.0,1.56,0.0,-0.0,-0.05255
1764938195.9856908,89.3,1.0,1.56,0.0,-0.0,-0.05303
1764938195.9867039,89.3,1.0,1.56,0.0,-0.0,-0.05341
1764938196.210706,89.3,1.0,1.56,0.0,-0.0,-0.05173
1764938196.211705,89.3,1.0,1.56,0.0,-0.0,-0.05497
1764938196.4253078,89.3,1.0,1.56,0.0,-0.0,-0.05573
1764938196.426306,89.3,1.0,1.56,0.0,-0.0,-0.05691
1764938196.6493025,89.3,1.0,1.56,0.0,-0.0,-0.05979
1764938196.6513112,89.3,1.0,1.56,0.0,-0.0,-0.05768
1764938196.8214164,89.3,1.0,1.56,0.0,-0.0,-0.05852
1764938196.823419,89.56,1.0,1.56,0.0,-0.0,-0.05721
1764938197.0722847,89.3,1.0,1.56,0.0,-0.0,-0.05846
1764938197.074284,89.3,1.0,1.56,0.0,-0.0,-0.06018
1764938197.263327,89.3,1.0,1.56,0.0,-0.0,-0.06029
1764938197.2653275,89.56,1.0,1.56,0.0,-0.0,-0.06093
1764938197.4368792,89.3,1.0,1.56,0.0,-0.0,-0.05919
1764938197.4378762,89.56,1.0,1.56,0.0,-0.0,-0.05415
1764938197.626615,89.3,1.0,1.56,0.0,-0.0,-0.05262
1764938197.628615,89.3,1.0,1.56,0.0,-0.0,-0.05267
1764938197.6297333,89.3,1.0,1.56,0.0,-0.0,-0.05275
1764938197.8768222,89.56,1.0,1.56,0.0,-0.0,-0.05311
1764938197.8779907,89.3,1.0,1.56,0.0,-0.0,-0.05559
1764938198.0670068,89.3,1.0,1.56,0.0,-0.0,-0.05433
1764938198.0681686,89.3,1.0,1.56,0.0,-0.0,-0.05408
1764938198.256778,89.3,1.0,1.56,0.0,-0.0,-0.05203
1764938198.2577822,89.56,1.0,1.56,0.0,-0.0,-0.04903
1764938198.4462557,89.3,1.0,1.56,0.0,-0.0,-0.05241
1764938198.4482777,89.3,1.0,1.56,0.0,-0.0,-0.05109
1764938198.6985037,89.3,1.0,1.56,0.0,-0.0,-0.04939
1764938198.7005033,89.56,1.0,1.56,0.0,-0.0,-0.05037
1764938198.887903,89.56,1.0,1.56,0.0,-0.0,-0.05332
1764938198.887903,89.3,1.0,1.56,0.0,-0.0,-0.05245
1764938199.0802658,89.56,1.0,1.56,0.0,-0.0,-0.05115
1764938199.0812669,89.3,1.0,1.56,0.0,-0.0,-0.05413
1764938199.3350043,89.3,1.0,1.56,0.0,-0.0,-0.05228
1764938199.3370066,89.56,1.0,1.56,0.0,-0.0,-0.04645
1764938199.5260806,89.3,1.0,1.56,0.0,-0.0,-0.04968
1764938199.5270863,89.3,1.0,1.56,0.0,-0.0,-0.05256
1764938199.7138925,89.3,1.0,1.56,0.0,-0.0,-0.05347
1764938199.7158923,89.3,1.0,1.56,0.0,-0.0,-0.05176
1764938199.9037225,89.3,1.0,1.56,0.0,-0.0,-0.05434
1764938199.9058821,89.3,1.0,1.56,0.0,-0.0,-0.05704
1764938200.157216,89.3,1.0,1.56,0.0,-0.0,-0.05234
1764938200.1592193,89.56,1.0,1.56,0.0,-0.0,-0.04929
1764938200.3476605,89.3,1.0,1.56,0.0,-0.0,-0.05348
1764938200.348661,89.3,1.0,1.56,0.0,-0.0,-0.05299
1764938200.536706,89.3,1.0,1.56,0.0,-0.0,-0.05341
1764938200.5377035,89.3,1.0,1.56,0.0,-0.0,-0.05386
1764938200.7256808,89.3,1.0,1.56,0.0,-0.0,-0.05451
1764938200.7268567,89.3,1.0,1.56,0.0,-0.0,-0.06088
1764938200.9158769,89.3,1.0,1.56,0.0,-0.0,-0.05967
1764938200.9178784,89.3,1.0,1.56,0.0,-0.0,-0.05992
1764938201.1683323,89.3,1.0,1.56,0.0,-0.0,-0.06551
1764938201.1703358,89.3,1.0,1.56,0.0,-0.0,-0.06596
