timestamp,theta_pot,button_state,tau_ext
1764606768.546712,12.71,1.0,-0.00247
1764606768.547473,12.71,1.0,-0.00246
1764606768.5478756,12.71,1.0,-0.00254
1764606768.5481908,12.71,1.0,-0.00277
1764606769.4099133,12.71,1.0,-0.00026
1764606769.4100595,12.71,1.0,-0.00017
1764606769.594319,12.71,1.0,-0.00023
1764606769.5945306,12.45,1.0,-0.00014
1764606769.7802675,12.45,1.0,-0.00021
1764606769.7805862,12.71,1.0,-0.00011
1764606769.9696326,12.71,1.0,-0.00019
1764606769.9705582,12.71,1.0,-0.00015
1764606770.2847693,12.71,1.0,-0.00039
1764606770.284952,12.71,1.0,-0.00033
1764606770.3966758,12.71,1.0,-0.00022
1764606770.397058,12.71,1.0,-0.00019
1764606770.5842955,12.71,1.0,-0.0002
1764606770.5849879,12.71,1.0,-1e-05
1764606770.8328233,12.71,1.0,-0.0002
1764606770.8337164,12.71,1.0,-0.00012
1764606771.0234764,12.71,1.0,-0.00029
1764606771.0245724,12.71,1.0,-0.00032
1764606771.2086651,12.71,1.0,-0.00017
1764606771.209478,12.45,1.0,-0.00013
1764606771.3967822,12.71,1.0,-0.00017
1764606771.3971033,12.45,1.0,-0.0003
