timestamp,theta_pot,button_state,theta_pot_rad,wUser_,tau_ext
1764928360.3315928,80.85,1.0,1.41,0.0,0.0
1764928360.3324704,80.59,1.0,1.41,0.0,0.0
1764928360.5166674,80.59,1.0,1.41,0.0,0.0
1764928360.5171158,80.85,1.0,1.41,0.0,0.0
1764928360.703834,80.59,1.0,1.41,0.0,0.0
1764928360.7042947,80.85,1.0,1.41,0.0,0.0
1764928360.8917706,80.59,1.0,1.41,0.0,0.0
1764928360.8922482,80.85,1.0,1.41,0.0,0.0
1764928361.0798495,80.59,1.0,1.41,0.0,0.0
1764928361.0803432,80.85,1.0,1.41,0.0,0.0
1764928361.320399,80.85,1.0,1.41,0.0,0.0
1764928361.321812,80.59,1.0,1.41,0.0,0.0
1764928361.5412462,80.85,1.0,1.41,0.0,0.0
1764928361.5417948,80.59,1.0,1.41,0.0,0.0
1764928361.701813,80.85,1.0,1.41,0.0,0.0
1764928361.702387,80.85,1.0,1.41,0.0,0.0
1764928361.9454606,80.85,1.0,1.41,0.0,0.0
1764928361.946831,80.85,1.0,1.41,0.0,0.0
1764928362.1330478,80.59,1.0,1.41,0.0,0.0
1764928362.1344595,80.59,1.0,1.41,0.0,0.0
1764928362.3557613,80.85,1.0,1.41,0.0,0.0
1764928362.3573675,80.59,1.0,1.41,0.0,0.0
1764928362.5132456,80.85,1.0,1.41,0.0,0.0
1764928362.5138137,80.59,1.0,1.41,0.0,0.0
1764928362.5142658,80.59,1.0,1.41,0.0,0.0
1764928362.7645411,80.59,1.0,1.41,0.0,0.0
1764928362.7651274,80.59,1.0,1.41,0.0,0.0
1764928362.9527748,80.85,1.0,1.41,0.0,0.0
1764928362.9535522,80.85,1.0,1.41,0.0,0.0
1764928363.139757,80.85,1.0,1.41,0.0,0.0
1764928363.1403863,80.59,1.0,1.41,0.0,0.0
1764928363.3607533,80.59,1.0,1.41,0.0,0.0
1764928363.3610573,80.85,1.0,1.41,0.0,0.0
1764928363.5326324,80.59,1.0,1.41,0.0,0.0
1764928363.5331492,80.59,1.0,1.41,0.0,0.0
1764928363.779765,80.59,1.0,1.41,0.0,0.0
1764928363.7800438,80.85,1.0,1.41,0.0,0.0
1764928363.9721122,80.85,1.0,1.41,0.0,0.0
1764928363.972775,80.59,1.0,1.41,0.0,0.0
1764928364.1595879,80.59,1.0,1.41,0.0,0.0
1764928364.1600354,80.85,1.0,1.41,0.0,0.0
1764928364.351176,80.59,1.0,1.41,0.0,0.0
1764928364.35164,80.85,1.0,1.41,0.0,0.0
1764928364.6025517,80.85,1.0,1.41,0.0,0.0
1764928364.603053,80.59,1.0,1.41,0.0,0.0
1764928364.7902682,80.59,1.0,1.41,0.0,0.0
1764928364.7907135,80.85,1.0,1.41,0.0,0.0
1764928364.9775245,80.59,1.0,1.41,0.0,0.0
1764928364.9779758,80.59,1.0,1.41,0.0,0.0
1764928365.1631982,80.59,1.0,1.41,0.0,0.0
1764928365.1636508,80.59,1.0,1.41,0.0,0.0
1764928365.4125266,80.85,1.0,1.41,0.0,0.0
1764928365.4130166,80.85,1.0,1.41,0.0,0.0
1764928365.603968,80.59,1.0,1.41,0.0,0.0
1764928365.6044254,80.85,1.0,1.41,0.0,0.0
1764928365.7900298,80.85,1.0,1.41,0.0,0.0
1764928365.79047,80.85,1.0,1.41,0.0,0.0
1764928365.977021,80.85,1.0,1.41,0.0,0.0
1764928365.9775412,80.59,1.0,1.41,0.0,0.04259
1764928366.2255995,80.59,1.0,1.41,0.0,0.02293
1764928366.2260394,80.59,1.0,1.41,0.0,0.04515
1764928366.4167273,80.59,1.0,1.41,0.0,0.06593
1764928366.4172566,80.85,1.0,1.41,0.0,0.10857
1764928366.6044948,80.85,1.0,1.41,0.0,0.12482
1764928366.6050582,80.85,1.0,1.41,0.0,0.11581
1764928366.7913399,80.85,1.0,1.41,0.0,0.15068
1764928366.7918022,80.85,1.0,1.41,0.0,0.18076
1764928367.0420983,80.85,1.0,1.41,0.0,0.2014
1764928367.0426116,80.85,1.0,1.41,0.0,0.23532
1764928367.2286975,80.85,1.0,1.41,0.0,0.25889
1764928367.2291737,80.85,1.0,1.41,0.0,0.29867
1764928367.4162958,81.12,1.0,1.42,0.0,0.37037
1764928367.4167967,80.85,1.0,1.41,0.0,0.43004
1764928367.6054184,81.12,1.0,1.42,0.0,0.4241
1764928367.6058912,80.85,1.0,1.41,0.0,0.41984
1764928367.8555133,80.85,1.0,1.41,0.0,0.3227
1764928367.855982,80.59,1.0,1.41,0.0,0.0688
1764928368.0421925,80.85,1.0,1.41,0.0,-0.07392
1764928368.0426567,80.85,1.0,1.41,0.0,0.0
1764928368.2307255,80.85,1.0,1.41,0.0,0.0
1764928368.23101,80.59,1.0,1.41,0.0,-0.088
1764928368.4168408,80.59,1.0,1.41,0.0,-0.165
1764928368.417305,80.85,1.0,1.41,0.0,-0.21342
1764928368.6658657,80.59,1.0,1.41,0.0,-0.27213
1764928368.6661355,80.85,1.0,1.41,0.0,-0.34301
1764928368.855153,80.59,1.0,1.41,0.0,-0.42716
1764928368.8553143,80.85,1.0,1.41,0.0,-0.58398
1764928369.0270562,80.59,1.0,1.41,0.0,-0.62168
1764928369.0272315,80.59,1.0,1.41,0.0,-0.61512
1764928369.2800028,80.85,1.0,1.41,0.0,-0.62492
1764928369.280171,80.85,1.0,1.41,0.0,-0.53598
1764928369.4702392,80.85,1.0,1.41,0.0,-0.20067
1764928369.4708102,80.85,1.0,1.41,0.0,-0.07037
1764928369.4713037,80.59,1.0,1.41,0.0,0.05387
1764928369.6604555,80.85,1.0,1.41,0.0,0.11888
1764928369.6610212,80.59,1.0,1.41,0.0,0.16325
1764928369.8474276,80.85,1.0,1.41,0.0,0.24181
1764928369.847969,80.85,1.0,1.41,0.0,0.33342
1764928370.0974739,80.85,1.0,1.41,0.0,0.47881
1764928370.098301,80.85,1.0,1.41,0.0,0.51566
1764928370.2852004,80.85,1.0,1.41,0.0,0.28136
1764928370.2856736,80.59,1.0,1.41,0.0,0.06926
1764928370.4736495,80.85,1.0,1.41,0.0,0.0
1764928370.4741383,80.59,1.0,1.41,0.0,0.0
1764928370.7259843,80.85,1.0,1.41,0.0,0.0
1764928370.7270958,80.59,1.0,1.41,0.0,0.0
1764928370.9119093,80.59,1.0,1.41,0.0,0.0
1764928370.9125295,80.59,1.0,1.41,0.0,0.0
1764928371.0994437,80.85,1.0,1.41,0.0,0.0
1764928371.0998917,80.59,1.0,1.41,0.0,0.0
1764928371.2850065,80.59,1.0,1.41,0.0,0.0
1764928371.2854478,80.59,1.0,1.41,0.0,0.0
1764928371.4730818,80.85,1.0,1.41,0.0,0.0
1764928371.4735746,80.59,1.0,1.41,0.0,0.0
1764928371.7220876,80.59,1.0,1.41,0.0,0.0
1764928371.7225413,80.59,1.0,1.41,0.0,0.0
1764928371.9079168,80.59,1.0,1.41,0.0,0.0
1764928371.9083674,80.59,1.0,1.41,0.0,0.0
1764928372.0965745,80.59,1.0,1.41,0.0,0.0
1764928372.0967607,80.59,1.0,1.41,0.0,0.0
1764928372.2853956,80.85,1.0,1.41,0.0,0.0
1764928372.2858152,80.85,1.0,1.41,0.0,0.0
1764928372.537837,80.59,1.0,1.41,0.0,0.0
1764928372.5380127,80.85,1.0,1.41,0.0,0.0
1764928372.7252564,80.85,1.0,1.41,0.0,0.0
1764928372.725795,80.59,1.0,1.41,0.0,0.0
1764928372.9153352,80.85,1.0,1.41,0.0,0.0
1764928372.9164724,80.59,1.0,1.41,0.0,0.0
1764928373.1014335,80.59,1.0,1.41,0.0,0.0
1764928373.1018963,80.59,1.0,1.41,0.0,0.0
1764928373.3491325,80.85,1.0,1.41,0.0,0.0
1764928373.3498142,80.59,1.0,1.41,0.0,0.0
1764928373.536444,80.59,1.0,1.41,0.0,0.0
1764928373.5369854,80.85,1.0,1.41,0.0,0.0
1764928373.7125723,80.59,1.0,1.41,0.0,0.0
1764928373.7136714,80.59,1.0,1.41,0.0,0.0
1764928373.9257197,80.85,1.0,1.41,0.0,0.0
1764928373.926293,80.59,1.0,1.41,0.0,0.0
1764928374.1456301,80.85,1.0,1.41,0.0,0.0
1764928374.1468542,80.59,1.0,1.41,0.0,0.0
